Abelmoschus moschatus
Abrus precatorius
Acacia concinna
Acacia confusa
Acacia farnesiana
Acacia longifolia
Acacia mangium
Acacia mearnsii
Acacia melanoxylon
Acacia nilotica
Acacia retinodes
Acacia saligna
Acanthaster planci
Acanthocereus tetragonus
Acanthogobius flavimanus
Acanthophora spicifera
Acanthus mollis
Acer ginnala
Acer platanoides
Achatina fulica
Acnemia bifida
Acridotheres fuscus
Acridotheres tristis
Acromyrmex octospinosus
Acroptilon repens
Adelges piceae
Adelges tsugae
Adenanthera pavonina
Aedes aegypti
Aedes albopictus
Aegilops triuncialis
Agapanthus praecox
Agave americana
Agave sisalana
Ageratina riparia
Ageratum conyzoides
Agrilus planipennis
Agrostis capillaris
Agrostis gigantea
Ailanthus altissima
Akebia quinata
Albizia julibrissin
Albizia lebbeck
Alectoris chukar
Aleurites moluccana
Alexandrium minutum
Alitta succinea
Alliaria petiolata
Alnus glutinosa
Alosa pseudoharengus
Alpinia zerumbet
Alternanthera philoxeroides
Alternanthera sessilis
Ambrosia artemisiifolia
Ameiurus nebulosus
Ammophila arenaria
Ampelopsis brevipedunculata
Anas platyrhynchos
Andropogon virginicus
Angiopteris evecta
Annona glabra
Annona squamosa
Anolis aeneus
Anolis carolinensis
Anolis cristatellus
Anolis distichus
Anolis equestris
Anolis extremus
Anolis garmani
Anolis leachii
Anolis lineatus
Anolis maynardi
Anolis porcatus
Anolis richardii
Anolis trinitatis
Anolis wattsi
Anopheles quadrimaculatus
Anoplolepis gracilipes
Anoplophora chinensis
Anoplophora glabripennis
Anredera cordifolia
Anser anser
Anthonomus grandis
Antidesma bunias
Antigonon leptopus
Aphanomyces astaci
Apis mellifera scutellata
Archontophoenix cunninghamiana
Ardisia acuminata
Ardisia crenata
Ardisia elliptica
Artemia franciscana
Arundo donax
Ascidiella aspersa
Asparagus densiflorus
Asparagus officinalis
Asterias amurensis
Asystasia gangetica
Aulacaspis yasumatsui
Austroeupatorium inulifolium
Avian Influenza Virus
Avipoxvirus
